"Story","Title","Result","Date","Stability","Duration (s)"
"Validar el numero de productos","Comparar el numero de productos","SUCCESS","2024-07-12T20:02:25.5115394-05:00[America/Lima]","0.0","39.2"
"Validar total de precios","Comparar el total de precios","SUCCESS","2024-07-12T20:03:05.3070282-05:00[America/Lima]","0.0","40.25"
"Validar cantidad de productos","Comparar la cantidad de productos","SUCCESS","2024-07-12T20:03:45.6859343-05:00[America/Lima]","0.0","58.87"
