"Story","Title","Result","Date","Stability","Duration (s)"
"Validar el numero de productos","Comparar el numero de productos","SUCCESS","2024-08-20T21:29:35.2617237-05:00[America/Lima]","0.0","69.94"
"Validar total de precios","Comparar el total de precios","SUCCESS","2024-08-20T21:30:45.2935913-05:00[America/Lima]","0.0","80.41"
"Validar cantidad de productos","Comparar la cantidad de productos","SUCCESS","2024-08-20T21:32:05.7534453-05:00[America/Lima]","0.0","50.09"
