"Story","Title","Result","Date","Stability","Duration (s)"
"Validar total de precios","Comparar el total de precios","SUCCESS","2024-08-20T21:30:45.2935913-05:00[America/Lima]","0.0","80.41"
"Validar cantidad de productos","Comparar la cantidad de productos","SUCCESS","2024-08-20T22:42:02.0129471-05:00[America/Lima]","0.0","81.09"
