"Story","Title","Result","Date","Stability","Duration (s)"
"Validar total de precios","Comparar el total de precios","FAILURE","2024-08-20T21:25:29.5612798-05:00[America/Lima]","0.0","24.73"
"Validar cantidad de productos","Comparar la cantidad de productos","ERROR","2024-08-20T21:25:54.3383938-05:00[America/Lima]","0.0","24.7"
